#    L    TT             EE             BB             TE          
   253   0.537464E+04   0.265235E+01   0.232301E-01   0.680632E+02
   254   0.535527E+04   0.274148E+01   0.234060E-01   0.696396E+02
   255   0.533538E+04   0.283284E+01   0.235817E-01   0.712030E+02
   256   0.531498E+04   0.292645E+01   0.237572E-01   0.727526E+02
   257   0.529408E+04   0.302232E+01   0.239325E-01   0.742878E+02
   258   0.527269E+04   0.312042E+01   0.241075E-01   0.758077E+02
   259   0.525082E+04   0.322079E+01   0.242823E-01   0.773125E+02
   260   0.522849E+04   0.332340E+01   0.244569E-01   0.788002E+02
   261   0.520570E+04   0.342826E+01   0.246312E-01   0.802714E+02
   262   0.518248E+04   0.353536E+01   0.248052E-01   0.817248E+02
   263   0.515882E+04   0.364471E+01   0.249789E-01   0.831602E+02
   264   0.513475E+04   0.375631E+01   0.251522E-01   0.845762E+02
   265   0.511025E+04   0.387012E+01   0.253252E-01   0.859736E+02
   266   0.508534E+04   0.398615E+01   0.254978E-01   0.873502E+02
   267   0.506003E+04   0.410438E+01   0.256701E-01   0.887052E+02
   268   0.503432E+04   0.422480E+01   0.258419E-01   0.900394E+02
   269   0.500820E+04   0.434740E+01   0.260134E-01   0.913505E+02
   270   0.498170E+04   0.447217E+01   0.261844E-01   0.926394E+02
   271   0.495482E+04   0.459908E+01   0.263549E-01   0.939037E+02
   272   0.492757E+04   0.472814E+01   0.265250E-01   0.951443E+02
   273   0.489996E+04   0.485929E+01   0.266947E-01   0.963597E+02
   274   0.487200E+04   0.499254E+01   0.268638E-01   0.975506E+02
   275   0.484370E+04   0.512786E+01   0.270324E-01   0.987148E+02
   276   0.481508E+04   0.526524E+01   0.272006E-01   0.998531E+02
   277   0.478614E+04   0.540464E+01   0.273682E-01   0.100964E+03
   278   0.475688E+04   0.554606E+01   0.275352E-01   0.102047E+03
   279   0.472733E+04   0.568944E+01   0.277017E-01   0.103102E+03
   280   0.469750E+04   0.583476E+01   0.278676E-01   0.104129E+03
   281   0.466738E+04   0.598201E+01   0.280330E-01   0.105126E+03
   282   0.463699E+04   0.613115E+01   0.281977E-01   0.106094E+03
   283   0.460635E+04   0.628213E+01   0.283619E-01   0.107032E+03
   284   0.457546E+04   0.643495E+01   0.285254E-01   0.107939E+03
   285   0.454432E+04   0.658956E+01   0.286883E-01   0.108815E+03
   286   0.451296E+04   0.674593E+01   0.288506E-01   0.109659E+03
   287   0.448139E+04   0.690401E+01   0.290123E-01   0.110472E+03
   288   0.444961E+04   0.706378E+01   0.291733E-01   0.111252E+03
   289   0.441763E+04   0.722519E+01   0.293336E-01   0.112001E+03
   290   0.438546E+04   0.738820E+01   0.294933E-01   0.112715E+03
   291   0.435313E+04   0.755280E+01   0.296523E-01   0.113396E+03
   292   0.432063E+04   0.771884E+01   0.298106E-01   0.114043E+03
   293   0.428797E+04   0.788641E+01   0.299682E-01   0.114657E+03
   294   0.425516E+04   0.805543E+01   0.301252E-01   0.115235E+03
   295   0.422222E+04   0.822575E+01   0.302814E-01   0.115778E+03
   296   0.418914E+04   0.839745E+01   0.304369E-01   0.116286E+03
   297   0.415594E+04   0.857037E+01   0.305918E-01   0.116758E+03
   298   0.412264E+04   0.874452E+01   0.307459E-01   0.117193E+03
   299   0.408924E+04   0.891982E+01   0.308993E-01   0.117593E+03
   300   0.405575E+04   0.909620E+01   0.310520E-01   0.117955E+03
   301   0.402218E+04   0.927374E+01   0.312040E-01   0.118281E+03
   302   0.398855E+04   0.945220E+01   0.313552E-01   0.118571E+03
   303   0.395487E+04   0.963168E+01   0.315057E-01   0.118823E+03
   304   0.392115E+04   0.981208E+01   0.316555E-01   0.119039E+03
   305   0.388740E+04   0.999334E+01   0.318046E-01   0.119218E+03
   306   0.385364E+04   0.101755E+02   0.319529E-01   0.119359E+03
   307   0.381986E+04   0.103583E+02   0.321006E-01   0.119463E+03
   308   0.378610E+04   0.105418E+02   0.322475E-01   0.119529E+03
   309   0.375234E+04   0.107260E+02   0.323936E-01   0.119558E+03
   310   0.371860E+04   0.109106E+02   0.325391E-01   0.119550E+03
   311   0.368490E+04   0.110958E+02   0.326838E-01   0.119503E+03
   312   0.365123E+04   0.112815E+02   0.328279E-01   0.119418E+03
   313   0.361761E+04   0.114675E+02   0.329712E-01   0.119295E+03
   314   0.358406E+04   0.116538E+02   0.331138E-01   0.119135E+03
   315   0.355058E+04   0.118403E+02   0.332557E-01   0.118936E+03
   316   0.351717E+04   0.120271E+02   0.333969E-01   0.118699E+03
   317   0.348386E+04   0.122139E+02   0.335374E-01   0.118425E+03
   318   0.345065E+04   0.124008E+02   0.336772E-01   0.118112E+03
   319   0.341755E+04   0.125876E+02   0.338164E-01   0.117762E+03
   320   0.338456E+04   0.127744E+02   0.339549E-01   0.117374E+03
   321   0.335172E+04   0.129611E+02   0.340927E-01   0.116949E+03
   322   0.331900E+04   0.131475E+02   0.342298E-01   0.116486E+03
   323   0.328644E+04   0.133335E+02   0.343664E-01   0.115986E+03
   324   0.325403E+04   0.135192E+02   0.345022E-01   0.115449E+03
   325   0.322178E+04   0.137045E+02   0.346375E-01   0.114875E+03
   326   0.318971E+04   0.138893E+02   0.347721E-01   0.114264E+03
   327   0.315783E+04   0.140735E+02   0.349061E-01   0.113616E+03
   328   0.312613E+04   0.142570E+02   0.350396E-01   0.112931E+03
   329   0.309464E+04   0.144398E+02   0.351724E-01   0.112212E+03
   330   0.306336E+04   0.146217E+02   0.353047E-01   0.111456E+03
   331   0.303230E+04   0.148029E+02   0.354363E-01   0.110664E+03
   332   0.300146E+04   0.149831E+02   0.355675E-01   0.109836E+03
   333   0.297085E+04   0.151623E+02   0.356981E-01   0.108974E+03
   334   0.294049E+04   0.153404E+02   0.358282E-01   0.108078E+03
   335   0.291038E+04   0.155174E+02   0.359578E-01   0.107147E+03
   336   0.288054E+04   0.156931E+02   0.360869E-01   0.106181E+03
   337   0.285096E+04   0.158675E+02   0.362155E-01   0.105183E+03
   338   0.282165E+04   0.160407E+02   0.363436E-01   0.104151E+03
   339   0.279263E+04   0.162123E+02   0.364713E-01   0.103088E+03
   340   0.276390E+04   0.163826E+02   0.365986E-01   0.101992E+03
   341   0.273547E+04   0.165512E+02   0.367254E-01   0.100865E+03
   342   0.270734E+04   0.167182E+02   0.368518E-01   0.997050E+02
   343   0.267952E+04   0.168835E+02   0.369779E-01   0.985148E+02
   344   0.265201E+04   0.170470E+02   0.371036E-01   0.972935E+02
   345   0.262482E+04   0.172085E+02   0.372289E-01   0.960417E+02
   346   0.259795E+04   0.173681E+02   0.373539E-01   0.947594E+02
   347   0.257140E+04   0.175257E+02   0.374786E-01   0.934473E+02
   348   0.254518E+04   0.176810E+02   0.376030E-01   0.921056E+02
   349   0.251931E+04   0.178343E+02   0.377271E-01   0.907363E+02
   350   0.249379E+04   0.179854E+02   0.378509E-01   0.893388E+02
   351   0.246863E+04   0.181342E+02   0.379745E-01   0.879146E+02
   352   0.244383E+04   0.182808E+02   0.380979E-01   0.864642E+02
   353   0.241940E+04   0.184250E+02   0.382211E-01   0.849879E+02
   354   0.239535E+04   0.185668E+02   0.383441E-01   0.834877E+02
   355   0.237168E+04   0.187061E+02   0.384670E-01   0.819630E+02
   356   0.234839E+04   0.188430E+02   0.385897E-01   0.804144E+02
   357   0.232550E+04   0.189772E+02   0.387122E-01   0.788428E+02
   358   0.230300E+04   0.191088E+02   0.388347E-01   0.772488E+02
   359   0.228089E+04   0.192376E+02   0.389571E-01   0.756324E+02
   360   0.225918E+04   0.193636E+02   0.390795E-01   0.739951E+02
   361   0.223788E+04   0.194867E+02   0.392018E-01   0.723360E+02
   362   0.221698E+04   0.196069E+02   0.393240E-01   0.706567E+02
   363   0.219649E+04   0.197241E+02   0.394463E-01   0.689580E+02
   364   0.217641E+04   0.198382E+02   0.395686E-01   0.672405E+02
   365   0.215675E+04   0.199493E+02   0.396910E-01   0.655049E+02
   366   0.213751E+04   0.200573E+02   0.398134E-01   0.637521E+02
   367   0.211869E+04   0.201620E+02   0.399359E-01   0.619827E+02
   368   0.210029E+04   0.202635E+02   0.400586E-01   0.601977E+02
   369   0.208232E+04   0.203619E+02   0.401813E-01   0.583977E+02
   370   0.206479E+04   0.204568E+02   0.403042E-01   0.565834E+02
   371   0.204768E+04   0.205485E+02   0.404273E-01   0.547557E+02
   372   0.203101E+04   0.206366E+02   0.405506E-01   0.529152E+02
   373   0.201477E+04   0.207214E+02   0.406741E-01   0.510628E+02
   374   0.199897E+04   0.208028E+02   0.407978E-01   0.491992E+02
   375   0.198359E+04   0.208807E+02   0.409218E-01   0.473250E+02
   376   0.196866E+04   0.209549E+02   0.410461E-01   0.454412E+02
   377   0.195417E+04   0.210257E+02   0.411707E-01   0.435483E+02
   378   0.194011E+04   0.210927E+02   0.412956E-01   0.416471E+02
   379   0.192649E+04   0.211560E+02   0.414209E-01   0.397384E+02
   380   0.191332E+04   0.212157E+02   0.415465E-01   0.378229E+02
   381   0.190058E+04   0.212716E+02   0.416725E-01   0.359014E+02
   382   0.188829E+04   0.213235E+02   0.417989E-01   0.339745E+02
   383   0.187644E+04   0.213717E+02   0.419258E-01   0.320431E+02
   384   0.186503E+04   0.214161E+02   0.420531E-01   0.301081E+02
   385   0.185406E+04   0.214566E+02   0.421809E-01   0.281702E+02
   386   0.184353E+04   0.214933E+02   0.423091E-01   0.262303E+02
   387   0.183344E+04   0.215261E+02   0.424379E-01   0.242892E+02
   388   0.182378E+04   0.215551E+02   0.425672E-01   0.223478E+02
   389   0.181456E+04   0.215803E+02   0.426970E-01   0.204068E+02
   390   0.180577E+04   0.216016E+02   0.428274E-01   0.184671E+02
   391   0.179742E+04   0.216190E+02   0.429584E-01   0.165294E+02
   392   0.178950E+04   0.216324E+02   0.430900E-01   0.145945E+02
   393   0.178200E+04   0.216420E+02   0.432222E-01   0.126632E+02
   394   0.177493E+04   0.216477E+02   0.433551E-01   0.107363E+02
